source,target
4009,4013
4001,4017
4001,4013
4017,4005
4017,4013
4003,4019
4003,4013
4019,4005
4019,4013
4019,6059
4019,6073
4019,4025
4019,6075
4019,6037
4019,4023
4019,4021
4019,4027
4019,6071
4019,6001
4019,6065
4019,6085
4023,4013
4007,4013
4005,6073
4005,6037
4005,4013
4005,6059
4015,4013
4015,6059
4015,6065
4015,6037
4015,6071
4025,4013
4025,6037
4013,6095
4013,6019
4013,6061
4013,6081
4013,6059
4013,6037
4013,6075
4013,4021
4013,6085
4013,6065
4013,6111
4013,6073
4013,6067
4013,6001
4013,6079
4013,6053
4013,4027
4013,6071
4013,6013
4013,6077
4013,6107
4013,6099
4013,6097
4013,51059
4013,51810
4013,6029
4013,6083
4021,6073
4021,6037
4027,6037
4027,6073
6025,6037
6025,6065
6025,6073
6065,6001
6065,6013
6065,6019
6065,6029
6065,6037
6065,6053
6065,6059
6065,6111
6065,6099
6065,6081
6065,6107
6065,6067
6065,6079
6065,6071
6065,6085
6065,6095
6065,6075
6065,6097
6065,6083
6065,6077
6065,6073
6071,6001
6071,6013
6071,6019
6071,6029
6071,6037
6071,6059
6071,6067
6071,6077
6071,6099
6071,6075
6071,6085
6071,6083
6071,6111
6071,6073
6071,6107
6071,6079
6071,6081
6013,6001
6013,6007
6013,6087
6013,6037
6013,6077
6013,6073
6013,6067
6013,6053
6013,6095
6013,6055
6013,6113
6013,6019
6013,6081
6013,6099
6013,6097
6013,6083
6013,6079
6013,6059
6013,6085
6013,6041
6013,6075
6013,6061
6013,6111
6001,6087
6001,6041
6001,6055
6001,6029
6001,6067
6001,6007
6001,6047
6001,6061
6001,6081
6001,6073
6001,6085
6001,6097
6001,6083
6001,6037
6001,6059
6001,6075
6001,6019
6001,6077
6001,6017
6001,6113
6001,6079
6001,6095
6001,51059
6001,6111
6001,6053
6001,6099
6075,6019
6075,6037
6075,6041
6075,6053
6075,6055
6075,6059
6075,6061
6075,6067
6075,6073
6075,6077
6075,6079
6075,6087
6075,51013
6075,51059
6075,6111
6075,6081
6075,6097
6075,6085
6075,6095
6075,6083
6075,6113
6075,6099
6077,6009
6077,6019
6077,6029
6077,6037
