source,target
4009,4001
4009,4003
4009,4007
4009,4011
4009,4017
4009,4019
4009,4021
4001,4011
4001,4017
4011,4003
4017,4005
4017,4007
4003,4019
4003,4023
4019,4013
4019,4021
4019,4023
4019,4027
4007,4005
4007,4013
4007,4021
4007,4025
4005,4015
4005,4025
4015,4012
4015,4025
4015,6071
4025,4012
4025,4013
4013,4012
4013,4021
4013,4027
4012,4027
4012,6025
4012,6065
4012,6071
4027,6025
6025,6065
6025,6073
6065,6059
6065,6071
6065,6073
6071,6027
6071,6029
6071,6037
6071,6059
6013,6001
6013,6067
6013,6077
6013,6095
6001,6075
6001,6077
6001,6085
6001,6099
6075,6041
6075,6081
6077,6005
6077,6009
6077,6067
6077,6099
6085,6047
6085,6069
6085,6081
6085,6087
6085,6099
6099,6009
6099,6047
6099,6109
6005,6009
6005,6017
6005,6067
6009,6109
6017,6061
6017,6067
6051,6019
6051,6027
6051,6039
6051,6109
6109,6039
6109,6043
6067,6061
6067,6095
6067,6101
6067,6113
6011,6007
6011,6021
6011,6033
6011,6101
6011,6113
6007,6021
6007,6063
6007,6101
6007,6103
6007,6115
6021,6033
6021,6045
6021,6103
6063,6035
6063,6089
6063,6103
6063,6115
6101,6061
6101,6113
6101,6115
6103,6045
6103,6089
6115,6057
6115,6061
6033,6045
6033,6055
6033,6097
6033,6113
6113,6055
6113,6095
6095,6055
6023,6015
6023,6045
6023,6093
6015,6093
6093,6089
6061,6057
6027,6019
6027,6029
6027,6107
6019,6031
6019,6039
6019,6047
6019,6053
6019,6069
6019,6107
6031,6029
6031,6053
6031,6079
6031,6107
6039,6043
6039,6047
6047,6043
6047,6069
6053,6069
6053,6079
6053,6087
6069,6087
6107,6029
6045,6097
6073,6059
6029,6037
6029,6079
6029,6083
6029,6111
6037,6059
6037,6111
6079,6083
6083,6111
6055,6097
6097,6041
6035,6089
6087,6081
51013,51059
51013,51510
51013,51610
51510,51059
51105,51169
51105,51195
51195,51051
51195,51167
51195,51169
51195,51720
51027,51051
51027,51167
51027,51185
51051,51167
23005,23001
23005,23017
23005,23023
23005,23031
23001,23007
23001,23011
23001,23017
23001,23023
23007,23011
23007,23017
23007,23025
23011,23015
23011,23023
23011,23025
23011,23027
23017,23031
23023,23015
23019,23003
23019,23009
23019,23021
23019,23025
23019,23027
23019,23029
23003,23021
23003,23025
23003,23029
23021,23025
23025,23027
23029,23009
23009,23027
23027,23013
23027,23015
23015,23013
51059,51107
51059,51153
51059,51610
51099,51033
51099,51057
51099,51179
51099,51193
51153,51061
51153,51107
51153,51179
51153,51683
51179,51033
51179,51047
51179,51061
51179,51177
51179,51630
51193,51057
51107,51061
51001,51131
51550,51710
51550,51740
51550,51800
51550,51810
51800,51093
51800,51700
51800,51740
51143,51019
51143,51067
51143,51089
51143,51590
51810,51710
51117,51025
51025,51053
51025,51081
51025,51135
51081,51053
51089,51067
51089,51141
51141,51035
51141,51063
51141,51067
51035,51063
51035,51155
51035,51197
51035,51640
51169,51167
51169,51191
51191,51167
51191,51173
51191,51520
51015,51003
51015,51163
51015,51165
51015,51790
51003,51029
51003,51065
51003,51079
51003,51109
51003,51137
51003,51165
51003,51540
51029,51011
51029,51065
51029,51147
51065,51109
51079,51137
51079,51139
51079,51165
51109,51085
51109,51137
51109,51177
51137,51047
51137,51177
51165,51139
51165,51171
51165,51660
51005,51023
51005,51163
51023,51019
51023,51161
51023,51163
51163,51009
51163,51019
51163,51530
51041,51007
51041,51053
51041,51087
51041,51145
51041,51149
51041,51570
51041,51670
51041,51730
51041,51760
51007,51053
51007,51135
51007,51145
51007,51147
51053,51135
51053,51149
51053,51730
51135,51147
51147,51011
51011,51009
51009,51019
51009,51680
51019,51067
51019,51161
51019,51680
51067,51063
51067,51161
51161,51063
51161,51121
51161,51770
51161,51775
51155,51063
51155,51121
51155,51197
51155,51750
51173,51167
51173,51185
51173,51197
51185,51167
51057,51033
51033,51085
51033,51101
51033,51177
51085,51087
51085,51101
51085,51127
51085,51177
51101,51127
51177,51047
51177,51630
51063,51121
51087,51127
51087,51760
51149,51670
51149,51730
51570,51730
51061,51047
51061,51187
51069,51171
51069,51187
51069,51840
51187,51139
51187,51171
51121,51750
51171,51139
51073,51199
51199,51650
51199,51700
51199,51735
51093,51620
51093,51700
51700,51650
51770,51775
51650,51735
51710,51740
